Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
Disaster Movie,2008,movie,29 Aug 2008,87,"Comedy, Sci-Fi","Jason Friedberg, Aaron Seltzer",English,United States,N/A,1 win & 6 nominations,6,1,1.9,1%,15,15,"95,221","$14,190,901",Yes,No,No,No
Superhero Movie,2008,movie,28 Mar 2008,75,"Action, Comedy, Sci-Fi",Craig Mazin,English,United States,N/A,1 win,0,1,4.7,16%,33,33,"77,212","$25,881,068",Yes,No,No,No
The Onion Movie,2008,movie,07 Jan 2008,86,Comedy,"Tom Kuntz, Mike Maguire","English, Russian, Spanish",United States,N/A,N/A,0,0,6.2,N/A,N,N/A,"16,679",N/A,No,Yes,No,No
Extreme Movie,2008,movie,29 Jul 2009,86,Comedy,"Adam Jay Epstein, Andrew Jacobson",English,United States,N/A,N/A,0,0,3.7,N/A,N,N/A,"11,667",N/A,No,No,No,No
Naruto Shippuden: The Movie - Bonds,2008,movie,25 Oct 2011,98,"Animation, Action, Fantasy",Hajime Kamegaki,Japanese,Japan,N/A,N/A,0,0,6.8,N/A,N,N/A,"5,456",N/A,Yes,No,No,No
Home Movie,2008,movie,08 Dec 2009,77,"Drama, Horror, Thriller",Christopher Denham,English,United States,N/A,1 win & 1 nomination,1,1,5.5,N/A,N,N/A,"4,960",N/A,Yes,No,No,No
Midnight Movie,2008,movie,06 Jan 2009,82,"Fantasy, Horror, Thriller",Jack Messitt,English,United States,N/A,2 wins,0,2,5.1,N/A,N,N/A,"4,392",N/A,Yes,No,No,No
Killer Movie,2008,movie,24 Apr 2008,93,"Comedy, Horror, Mystery",Jeff Fisher,English,United States,N/A,N/A,0,0,4.4,N/A,N,N/A,"3,163",N/A,Yes,No,No,No
The Best Movie,2008,movie,24 Jan 2008,110,Comedy,Kirill Kuzin,"Russian, French, German",Russia,N/A,1 win & 6 nominations,6,1,3.0,N/A,N,N/A,"2,896",N/A,No,Yes,No,No
Gurren Lagann the Movie: Childhood's End,2008,movie,06 Sep 2008,112,"Animation, Action, Comedy","Hiroyuki Imaishi, Shin Itagaki, Tarô Iwasaki",Japanese,Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,"1,948",N/A,Yes,No,No,No
